"Date","Price","Open","High","Low","Vol.","Change %"
"16-02-2024","15.2225","15.2250","15.5525","14.9025","","-0.02%"
"15-02-2024","15.2250","15.4350","15.6625","15.1125","","-1.36%"
"14-02-2024","15.4350","15.8075","16.1975","15.3400","","-2.36%"
"13-02-2024","15.8075","16.0625","16.5700","15.7525","","-1.59%"
"12-02-2024","16.0625","15.4475","16.5350","15.4475","","3.98%"
"09-02-2024","15.4475","15.8275","16.3325","15.2650","","-2.40%"
"08-02-2024","15.8275","15.5050","16.0275","15.2425","","2.08%"
"07-02-2024","15.5050","15.7850","16.0175","14.7400","","-1.77%"
"06-02-2024","15.7850","15.6175","15.9825","15.0875","","1.07%"
"05-02-2024","15.6175","14.6975","16.0500","14.6975","","6.26%"
"02-02-2024","14.6975","14.4550","15.1325","14.0250","","1.68%"
"01-02-2024","14.4550","16.0475","16.1075","14.3600","","-9.92%"
"31-01-2024","16.0475","16.1025","16.5325","15.8000","","-0.34%"
"30-01-2024","16.1025","15.6800","16.5750","14.9875","","2.69%"
"29-01-2024","15.6800","13.8650","15.8475","13.7950","","13.09%"
"25-01-2024","13.8650","14.3750","15.3375","13.3600","","-3.55%"
"24-01-2024","14.3750","14.8525","15.6475","14.0300","","-3.21%"
"23-01-2024","14.8525","13.8025","15.4050","12.1950","","8.29%"
"20-01-2024","13.7150","13.0975","14.2475","13.0975","","-1.17%"
"19-01-2024","13.8775","14.0700","14.1125","13.6775","","-1.37%"
"18-01-2024","14.0700","15.0800","15.7050","12.9800","","-6.70%"
"17-01-2024","15.0800","13.5725","15.2300","12.7150","","11.11%"
"16-01-2024","13.5725","13.7850","14.0425","12.4850","","-1.54%"
"15-01-2024","13.7850","13.1000","13.8850","11.7875","","5.23%"
"12-01-2024","13.1000","12.7675","13.2850","12.4200","","2.60%"
"11-01-2024","12.7675","12.9700","13.1900","12.6300","","-1.56%"
"10-01-2024","12.9700","13.2625","14.5575","12.8100","","-2.21%"
"09-01-2024","13.2625","13.4625","13.5050","12.7750","","-1.49%"
"08-01-2024","13.4625","12.6300","13.5950","12.6300","","6.59%"
"05-01-2024","12.6300","13.3300","13.4675","12.4875","","-5.25%"
"04-01-2024","13.3300","14.0975","14.2075","13.2125","","-5.44%"
"03-01-2024","14.0975","14.5800","14.7800","14.0225","","-3.31%"
"02-01-2024","14.5800","14.6800","15.0800","14.2425","","-0.68%"
"01-01-2024","14.6800","14.5025","14.8675","14.3275","","1.22%"
"29-12-2023","14.5025","15.1400","15.4275","14.3725","","-4.21%"
"28-12-2023","15.1400","15.5575","16.4700","14.9625","","-2.68%"
"27-12-2023","15.5575","14.6775","15.7325","14.4700","","6.00%"
"26-12-2023","14.6775","13.7075","14.9500","13.7075","","7.08%"
"22-12-2023","13.7075","13.7575","13.9875","12.2250","","-0.36%"
"21-12-2023","13.7575","14.4500","15.0100","12.2825","","-4.79%"
"20-12-2023","14.4500","13.8675","14.8700","12.7775","","4.20%"
"19-12-2023","13.8675","13.9000","14.1200","13.5525","","-0.23%"
"18-12-2023","13.9000","13.1275","14.1175","13.1250","","5.88%"
"15-12-2023","13.1275","12.3200","13.3425","10.8000","","6.55%"
"14-12-2023","12.3200","12.0650","12.5125","11.0000","","2.11%"
"13-12-2023","12.0650","12.7125","12.8175","11.5400","","-5.09%"
"12-12-2023","12.7125","12.7575","12.8675","11.6925","","-0.35%"
"11-12-2023","12.7575","12.4700","13.1225","12.2275","","2.31%"
"08-12-2023","12.4700","12.6725","12.8750","12.1350","","-1.60%"
"07-12-2023","12.6725","13.7400","13.7400","12.5450","","-7.77%"
"06-12-2023","13.7400","13.4575","14.0875","12.6875","","2.10%"
"05-12-2023","13.4575","12.9925","13.8825","11.4750","","3.58%"
"04-12-2023","12.9925","12.3825","13.1600","11.3400","","4.93%"
"01-12-2023","12.3825","12.6900","12.7550","11.7775","","-2.42%"
"30-11-2023","12.6900","12.7075","13.3525","11.7625","","-0.14%"
"29-11-2023","12.7075","12.1750","14.4600","11.3325","","4.37%"
"28-11-2023","12.1750","11.3300","12.4925","11.0650","","7.46%"
"24-11-2023","11.3300","11.3150","11.4650","8.6775","","0.13%"
"23-11-2023","11.3150","11.8650","12.1400","10.9750","","-4.64%"
"22-11-2023","11.8650","12.2325","12.7075","11.0225","","-3.00%"
"21-11-2023","12.2325","12.1475","12.4350","10.7550","","0.70%"
"20-11-2023","12.1475","11.8275","12.6700","11.2000","","2.71%"
"17-11-2023","11.8275","11.6475","12.0900","10.1900","","1.55%"
"16-11-2023","11.6475","11.1350","11.8075","10.6175","","4.60%"
"15-11-2023","11.1350","11.1875","11.4175","8.3950","","-0.47%"
"13-11-2023","11.1875","11.3475","11.6325","10.5025","","-1.41%"
"12-11-2023","11.3475","9.7525","11.5400","9.7525","","2.16%"
"10-11-2023","11.1075","10.9825","11.3575","9.8600","","1.14%"
"09-11-2023","10.9825","11.0375","11.2525","10.3700","","-0.50%"
"08-11-2023","11.0375","11.1925","11.3325","10.6300","","-1.38%"
"07-11-2023","11.1925","11.1050","12.1775","11.0000","","0.79%"
"06-11-2023","11.1050","10.8825","11.2800","10.3800","","2.04%"
